,,,,,Submission Delinquency Report
,Run Date:,,2023-01-03
,For:,,Year: 22, Period: 3, Week: 5
,Filter For all units

Sector,Unit #,Fiscal Year,Period,Week,UserName - Purchases,Date Purchases Submitted,Username - Sales,Date Sales Submitted,Data Entered (Y/N), Forced Submission
03,10741,22,3,5,ORBIT_System_User,1/3/2023 2:20:26 AM,ORBIT_System_User,1/3/2023 2:20:26 AM,N,Y
03,10743,22,3,5,ORBIT_System_User,1/3/2023 2:20:27 AM,ORBIT_System_User,1/3/2023 2:20:27 AM,N,Y
03,10744,22,3,5,ORBIT_System_User,1/3/2023 2:20:30 AM,ORBIT_System_User,1/3/2023 2:20:30 AM,N,Y
15,10751,22,3,5,wendy.lyu,1/2/2023 9:41:57 PM,wendy.lyu,1/2/2023 9:42:23 PM,Y,N
01,10995,22,3,5,ORBIT_System_User,1/3/2023 1:50:38 AM,ORBIT_System_User,1/3/2023 1:50:38 AM,N,Y
02,11010,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11012,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11013,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11014,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11015,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11016,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11017,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11018,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11019,22,3,5,ORBIT_System_User,1/3/2023 1:52:29 AM,ORBIT_System_User,1/3/2023 1:52:29 AM,N,Y
02,11021,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11022,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11023,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11024,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11027,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11028,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11029,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11031,22,3,5,allison.vanhoutte,12/23/2022 2:00:14 PM,allison.vanhoutte,12/23/2022 2:00:25 PM,N,N
02,11037,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11038,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
